iter	Passed	Remaining
483	598	638
484	599	636
485	600	635
486	601	633
487	602	632
488	603	630
489	604	628
490	605	627
491	606	626
492	608	625
493	609	623
494	610	622
495	611	621
496	612	619
497	613	618
498	613	616
499	614	614
500	615	613
501	616	611
502	617	610
503	618	608
504	618	606
505	620	605
506	622	604
507	623	603
508	624	602
509	625	600
510	626	599
511	627	597
512	628	596
513	629	594
514	629	593
515	630	591
516	631	590
517	632	588
518	634	587
519	635	586
520	636	584
521	637	583
522	638	582
523	639	580
524	640	579
525	641	577
526	642	576
527	642	574
528	643	573
529	644	571
530	645	570
531	646	568
532	647	567
533	648	565
534	649	564
535	650	562
536	651	561
537	652	559
538	652	558
539	653	556
540	654	555
541	655	554
542	656	552
543	657	551
544	658	549
545	659	548
546	660	546
547	661	545
548	662	544
549	663	543
550	664	541
551	665	540
552	666	539
553	667	537
554	668	536
555	669	534
556	670	533
557	671	531
558	672	530
559	673	528
560	673	527
561	674	526
562	675	524
563	677	523
564	678	522
565	680	521
566	681	520
567	682	519
568	683	517
569	684	516
570	685	514
571	685	513
572	686	511
573	687	510
574	688	509
575	689	507
576	690	506
577	691	505
578	692	503
579	693	502
580	694	500
581	695	499
582	696	498
583	697	496
584	697	495
585	698	493
586	699	492
587	700	490
588	701	489
589	701	487
590	702	486
591	703	484
592	704	483
593	705	482
594	707	481
595	708	480
596	709	478
597	709	477
598	710	475
599	711	474
600	712	473
601	713	471
602	714	470
603	715	468
604	716	467
605	716	466
606	717	464
607	718	463
608	719	461
609	720	460
610	721	459
611	722	458
612	723	456
613	724	455
614	725	454
615	726	452
616	726	451
617	727	449
618	729	448
619	729	447
620	730	445
621	731	444
622	732	443
623	733	441
624	733	440
625	735	439
626	736	437
627	737	436
628	738	435
629	739	434
630	740	432
631	740	431
632	741	430
633	742	428
634	743	427
635	744	426
636	745	424
637	746	423
638	746	421
639	747	420
640	748	419
641	749	418
642	751	417
643	752	415
644	753	414
645	754	413
646	755	411
647	755	410
648	756	409
649	757	408
650	758	406
651	759	405
652	760	404
653	761	402
654	762	401
655	763	400
656	764	399
657	766	398
658	767	396
659	767	395
660	768	394
661	770	393
662	771	392
663	772	390
664	773	389
665	774	388
666	775	386
667	775	385
668	777	384
669	778	383
670	779	382
671	780	381
672	781	379
673	782	378
674	783	377
675	784	376
676	785	374
677	786	373
678	787	372
679	788	371
680	789	369
681	790	368
682	792	367
683	793	366
684	794	365
685	795	364
686	796	362
687	797	361
688	798	360
689	799	359
690	800	358
691	801	356
692	802	355
693	803	354
694	804	353
695	806	352
696	807	351
697	809	350
698	810	349
699	811	347
700	812	346
701	813	345
702	814	344
703	815	343
704	817	341
705	818	340
706	819	339
707	820	338
708	822	337
709	823	336
710	824	335
711	826	334
712	827	332
713	828	331
714	829	330
715	830	329
716	831	328
717	832	327
718	833	325
719	835	324
720	837	323
721	838	322
722	839	321
723	840	320
724	840	318
725	841	317
726	843	316
727	844	315
728	845	314
729	846	313
730	847	311
731	849	310
732	851	310
733	852	309
734	854	307
735	855	306
736	856	305
737	858	304
738	859	303
739	861	302
740	862	301
741	864	300
742	865	299
743	866	298
744	867	296
745	867	295
746	868	294
747	869	292
748	870	291
749	871	290
750	871	289
751	872	287
752	873	286
753	875	285
754	876	284
755	877	283
756	878	282
757	879	280
758	880	279
759	881	278
760	882	277
761	883	275
762	884	274
763	884	273
764	885	272
765	886	270
766	887	269
767	889	268
768	890	267
769	891	266
770	892	265
771	893	263
772	894	262
773	894	261
774	895	260
775	896	258
776	897	257
777	898	256
778	899	255
779	900	253
780	901	252
781	902	251
782	903	250
783	904	249
784	905	248
785	906	246
786	907	245
787	908	244
788	909	243
789	910	241
790	911	240
791	912	239
792	912	238
793	913	237
794	914	235
795	915	234
796	916	233
797	918	232
798	919	231
799	920	230
800	921	229
801	922	227
802	923	226
803	924	225
804	925	224
805	926	223
806	927	221
807	928	220
808	929	219
809	931	218
810	932	217
811	934	216
812	935	215
813	936	214
814	937	212
815	938	211
816	940	210
817	941	209
818	942	208
819	943	207
820	944	205
821	945	204
822	947	203
823	948	202
824	949	201
825	950	200
826	951	199
827	952	197
828	953	196
829	954	195
830	955	194
831	956	193
832	958	192
833	959	190
834	960	189
835	961	188
836	963	187
837	964	186
838	965	185
839	966	184
840	967	182
841	968	181
842	969	180
843	970	179
844	972	178
845	973	177
846	976	176
847	977	175
848	979	174
849	980	172
850	981	171
851	982	170
852	983	169
853	984	168
854	986	167
855	987	166
856	988	164
857	989	163
858	990	162
859	991	161
860	992	160
861	993	159
862	994	157
863	995	156
864	996	155
865	997	154
866	997	153
867	998	151
868	1000	150
869	1001	149
870	1003	148
871	1004	147
872	1005	146
873	1006	145
874	1007	143
875	1008	142
876	1009	141
877	1010	140
878	1011	139
879	1012	138
880	1012	136
881	1014	135
882	1015	134
883	1016	133
884	1017	132
885	1018	131
886	1019	129
887	1020	128
888	1021	127
889	1022	126
890	1023	125
891	1024	124
892	1025	122
893	1026	121
894	1027	120
895	1028	119
896	1029	118
897	1031	117
898	1032	116
899	1033	114
900	1034	113
901	1036	112
902	1037	111
903	1038	110
904	1039	109
905	1039	107
906	1040	106
907	1041	105
908	1042	104
909	1044	103
910	1045	102
911	1046	100
912	1047	99
913	1048	98
914	1048	97
915	1049	96
916	1050	95
917	1051	93
918	1052	92
919	1053	91
920	1054	90
921	1054	89
922	1055	88
923	1056	86
924	1057	85
925	1059	84
926	1060	83
927	1061	82
928	1062	81
929	1063	80
930	1064	78
931	1065	77
932	1066	76
933	1066	75
934	1067	74
935	1068	73
936	1069	71
937	1070	70
938	1071	69
939	1073	68
940	1074	67
941	1075	66
942	1076	65
943	1077	63
944	1078	62
945	1079	61
946	1079	60
947	1080	59
948	1081	58
949	1082	56
950	1083	55
951	1084	54
952	1084	53
953	1086	52
954	1087	51
955	1088	50
956	1089	48
957	1090	47
958	1091	46
959	1092	45
960	1093	44
961	1093	43
962	1095	42
963	1095	40
964	1096	39
965	1097	38
966	1098	37
967	1099	36
968	1101	35
969	1103	34
970	1104	32
971	1105	31
972	1106	30
973	1106	29
974	1107	28
975	1108	27
976	1109	26
977	1110	24
978	1111	23
979	1113	22
980	1114	21
981	1115	20
982	1116	19
983	1117	18
984	1118	17
985	1118	15
986	1119	14
987	1120	13
988	1121	12
989	1122	11
990	1123	10
991	1124	9
992	1125	7
993	1126	6
994	1127	5
995	1128	4
996	1130	3
997	1130	2
998	1131	1
999	1133	0
